variant,arm,outcome,spec,n,status,cook_threshold,n_cook_gt_4_over_n,cook_gt_4_over_n_buildings
robust_exclusion,raw_acmp,assembled,observation_only,63,ok,0.063492,3,DEBY_LOD2_4906999;DEBY_LOD2_4908167;DEBY_LOD2_8568392
robust_exclusion,raw_acmp,assembled,attributes_plus_observation,25,max_iter,0.160000,0,none
robust_exclusion,raw_acmp,val3dity_valid,attributes_only,25,ok,0.160000,5,DEBY_LOD2_4907169;DEBY_LOD2_4907508;DEBY_LOD2_4908046;DEBY_LOD2_4908169;DEBY_LOD2_4908176
robust_exclusion,raw_acmp,val3dity_valid,observation_only,63,ok,0.063492,4,DEBY_LOD2_107802038;DEBY_LOD2_4906999;DEBY_LOD2_4908167;DEBY_LOD2_8568392
robust_exclusion,raw_acmp,val3dity_valid,attributes_plus_observation,25,max_iter,0.160000,2,DEBY_LOD2_4907169;DEBY_LOD2_8568392
robust_exclusion,raw_acmp,rf_rmse_lod22,attributes_only,23,ok,0.173913,5,DEBY_LOD2_108247350;DEBY_LOD2_42364659;DEBY_LOD2_4907016;DEBY_LOD2_4907175;DEBY_LOD2_8568392
robust_exclusion,raw_acmp,rf_rmse_lod22,observation_only,37,ok,0.108108,1,DEBY_LOD2_4908167
robust_exclusion,raw_acmp,rf_rmse_lod22,attributes_plus_observation,23,ok,0.173913,6,DEBY_LOD2_108247350;DEBY_LOD2_4907016;DEBY_LOD2_4907175;DEBY_LOD2_4908169;DEBY_LOD2_4959758;DEBY_LOD2_8568392
robust_exclusion,raw_acmp,rf_roof_planes,attributes_only,25,ok,0.160000,0,none
robust_exclusion,raw_acmp,rf_roof_planes,observation_only,63,ok,0.063492,4,DEBY_LOD2_42364659;DEBY_LOD2_4907168;DEBY_LOD2_4907169;DEBY_LOD2_4907508
robust_exclusion,raw_acmp,rf_roof_planes,attributes_plus_observation,25,ok,0.160000,3,DEBY_LOD2_42364659;DEBY_LOD2_4907175;DEBY_LOD2_4959758
