variant,arm,outcome,outcome_kind,spec,fit_type,n,predictor,coef,se,ci_low,ci_high,status
main,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,179,recon_score_median,-0.162639,0.048365,-0.257435,-0.067843,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,172,median_incidence_deg,-0.113083,0.039198,-0.189910,-0.036256,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,172,median_pair_angle_deg,0.335263,0.048697,0.239816,0.430709,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,172,n_views_nadir,0.202845,0.058499,0.088188,0.317503,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,observation_only,huber_rlm,172,recon_score_median,-0.262955,0.064207,-0.388802,-0.137109,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,pt_density_m2_reg,-0.020313,0.049307,-0.116955,0.076330,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,coverage_frac_reg,0.125225,0.056983,0.013538,0.236912,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,local_plane_rms_m,0.085008,0.042874,0.000976,0.169041,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,floater_frac,-0.029561,0.040791,-0.109511,0.050389,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,label_proxy_frac_all,-0.024664,0.042227,-0.107429,0.058100,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,median_incidence_deg,-0.019380,0.045972,-0.109486,0.070725,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,median_pair_angle_deg,0.142633,0.052602,0.039533,0.245734,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,n_views_nadir,0.034091,0.066316,-0.095889,0.164071,ok
main,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,133,recon_score_median,-0.159531,0.063821,-0.284619,-0.034442,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,pt_density_m2_reg,0.020020,0.071791,-0.120691,0.160730,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,coverage_frac_reg,0.199720,0.073672,0.055322,0.344117,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,local_plane_rms_m,0.115663,0.057420,0.003120,0.228206,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,floater_frac,-0.050662,0.054196,-0.156886,0.055563,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,label_proxy_frac_all,-0.047827,0.056324,-0.158223,0.062568,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,median_incidence_deg,-0.012117,0.063307,-0.136198,0.111964,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,median_pair_angle_deg,0.191963,0.068220,0.058251,0.325675,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,n_views_nadir,0.033046,0.087503,-0.138459,0.204551,ok
main_cook_excluded,raw_dense,rf_roof_planes,continuous,attributes_plus_observation,huber_rlm,125,recon_score_median,-0.255049,0.083349,-0.418414,-0.091685,ok
main,raw_lidar,assembled,binary,attributes_only,logistic,198,pt_density_m2_reg,-0.142289,0.285110,-0.701104,0.416526,max_iter
main,raw_lidar,assembled,binary,attributes_only,logistic,198,coverage_frac_reg,0.317182,0.182860,-0.041225,0.675588,max_iter
main,raw_lidar,assembled,binary,attributes_only,logistic,198,local_plane_rms_m,0.056238,0.295226,-0.522405,0.634882,max_iter
main,raw_lidar,assembled,binary,attributes_only,logistic,198,floater_frac,-0.039029,0.333421,-0.692535,0.614476,max_iter
main,raw_lidar,assembled,binary,attributes_only,logistic,198,label_proxy_frac_all,973.279216,681.984049,-363.409521,2309.967953,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_only,logistic,188,pt_density_m2_reg,-0.425128,0.389779,-1.189094,0.338838,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_only,logistic,188,coverage_frac_reg,0.516198,0.284336,-0.041100,1.073496,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_only,logistic,188,local_plane_rms_m,0.049572,0.418647,-0.770975,0.870120,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_only,logistic,188,floater_frac,1.692533,1.516528,-1.279862,4.664928,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_only,logistic,188,label_proxy_frac_all,965.360213,698.726053,-404.142850,2334.863277,max_iter
main,raw_lidar,assembled,binary,observation_only,logistic,199,median_incidence_deg,-0.533866,0.282200,-1.086978,0.019246,ok
main,raw_lidar,assembled,binary,observation_only,logistic,199,median_pair_angle_deg,0.562246,0.420098,-0.261145,1.385638,ok
main,raw_lidar,assembled,binary,observation_only,logistic,199,n_views_nadir,0.696234,0.748469,-0.770765,2.163234,ok
main,raw_lidar,assembled,binary,observation_only,logistic,199,recon_score_median,0.360256,0.511207,-0.641710,1.362221,ok
main_cook_excluded,raw_lidar,assembled,binary,observation_only,logistic,184,median_incidence_deg,-0.759311,0.532106,-1.802238,0.283617,max_iter
main_cook_excluded,raw_lidar,assembled,binary,observation_only,logistic,184,median_pair_angle_deg,0.623553,0.904370,-1.149012,2.396119,max_iter
main_cook_excluded,raw_lidar,assembled,binary,observation_only,logistic,184,n_views_nadir,357.312485,585.209745,-789.698615,1504.323585,max_iter
main_cook_excluded,raw_lidar,assembled,binary,observation_only,logistic,184,recon_score_median,0.297764,0.959026,-1.581927,2.177454,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,pt_density_m2_reg,-0.764926,0.384634,-1.518808,-0.011044,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,coverage_frac_reg,0.346622,0.186926,-0.019752,0.712997,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,local_plane_rms_m,0.107481,0.379314,-0.635975,0.850937,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,floater_frac,-0.288673,0.393095,-1.059140,0.481793,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,label_proxy_frac_all,549.188735,681.908440,-787.351806,1885.729277,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,median_incidence_deg,-0.495413,0.311119,-1.105207,0.114381,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,median_pair_angle_deg,0.415015,0.511588,-0.587698,1.417728,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,n_views_nadir,3.137353,2.667235,-2.090427,8.365132,max_iter
main,raw_lidar,assembled,binary,attributes_plus_observation,logistic,198,recon_score_median,0.711395,0.641913,-0.546755,1.969545,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,pt_density_m2_reg,-5.168124,2.558136,-10.182069,-0.154178,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,coverage_frac_reg,5.667643,3.507677,-1.207404,12.542689,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,local_plane_rms_m,0.263557,1.331491,-2.346165,2.873279,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,floater_frac,5.053562,4.759412,-4.274885,14.382009,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,label_proxy_frac_all,90.136329,735.953408,-1352.332351,1532.605008,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,median_incidence_deg,-1.288648,0.901672,-3.055925,0.478629,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,median_pair_angle_deg,1.740910,1.438950,-1.079431,4.561252,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,n_views_nadir,290.042527,611.722863,-908.934284,1489.019338,max_iter
main_cook_excluded,raw_lidar,assembled,binary,attributes_plus_observation,logistic,181,recon_score_median,1.110607,1.776218,-2.370781,4.591995,max_iter
main,raw_lidar,val3dity_valid,binary,attributes_only,logistic,178,pt_density_m2_reg,-0.368016,0.330119,-1.015049,0.279017,ok
main,raw_lidar,val3dity_valid,binary,attributes_only,logistic,178,coverage_frac_reg,0.538134,0.409078,-0.263659,1.339928,ok
main,raw_lidar,val3dity_valid,binary,attributes_only,logistic,178,local_plane_rms_m,-0.212718,0.340346,-0.879796,0.454360,ok
main,raw_lidar,val3dity_valid,binary,attributes_only,logistic,178,floater_frac,0.031534,0.265440,-0.488729,0.551797,ok
main,raw_lidar,val3dity_valid,binary,attributes_only,logistic,178,label_proxy_frac_all,0.062458,0.330385,-0.585096,0.710012,ok
main_cook_excluded,raw_lidar,val3dity_valid,binary,attributes_only,logistic,166,pt_density_m2_reg,-0.779467,0.740526,-2.230898,0.671964,max_iter
main_cook_excluded,raw_lidar,val3dity_valid,binary,attributes_only,logistic,166,coverage_frac_reg,0.624635,0.392968,-0.145583,1.394853,max_iter
main_cook_excluded,raw_lidar,val3dity_valid,binary,attributes_only,logistic,166,local_plane_rms_m,-0.095829,0.585890,-1.244173,1.052514,max_iter
main_cook_excluded,raw_lidar,val3dity_valid,binary,attributes_only,logistic,166,floater_frac,-0.035257,0.494706,-1.004880,0.934367,max_iter
main_cook_excluded,raw_lidar,val3dity_valid,binary,attributes_only,logistic,166,label_proxy_frac_all,742.465759,744.689236,-717.125143,2202.056662,max_iter
main,raw_lidar,val3dity_valid,binary,observation_only,logistic,179,median_incidence_deg,0.018628,0.292202,-0.554087,0.591343,ok
main,raw_lidar,val3dity_valid,binary,observation_only,logistic,179,median_pair_angle_deg,-0.466796,0.324955,-1.103708,0.170116,ok
main,raw_lidar,val3dity_valid,binary,observation_only,logistic,179,n_views_nadir,-0.089020,0.455854,-0.982494,0.804453,ok
