arm,replicate,run_name,z_min,z_max,n_gaussians,fraction_of_all,opacity_p50,ckpt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,638.0000,640.0000,231,0.00042604,0.0380,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,640.0000,642.0000,335,0.00061785,0.0721,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,642.0000,644.0000,534,0.00098487,0.0696,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,644.0000,646.0000,457,0.00084285,0.0660,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,646.0000,648.0000,232,0.00042788,0.0922,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,648.0000,650.0000,220,0.00040575,0.1135,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,650.0000,652.0000,152,0.00028034,0.1549,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,652.0000,654.0000,130,0.00023976,0.5132,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,654.0000,656.0000,244,0.00045001,0.2381,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,656.0000,658.0000,240,0.00044264,0.1228,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,658.0000,660.0000,221,0.00040759,0.0785,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,660.0000,662.0000,249,0.00045924,0.0822,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,662.0000,664.0000,159,0.00029325,0.0739,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,664.0000,666.0000,70,0.00012910,0.1000,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,666.0000,668.0000,19,0.00003504,0.0245,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,668.0000,670.0000,20,0.00003689,0.0102,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,670.0000,672.0000,27,0.00004980,0.0252,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,672.0000,674.0000,19,0.00003504,0.0351,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,674.0000,676.0000,4,0.00000738,0.4872,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,676.0000,678.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,678.0000,680.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,680.0000,682.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,682.0000,684.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
s3a,r1,gs_e5_C001_s3a_semantic_guided_r1,684.0000,686.0000,0,0.00000000,,results/tum_transfer/e5_s3_semantic_guided/C001/runs/gs_e5_C001_s3a_semantic_guided_r1/ckpt/final.pt
