source_id,source_role,condition_id,seed,building_id,prediction_roof_surface_count,published_score_time_z_shift_m,published_rms_m,recomputed_zero_shift_rms_m,canonical_shift_m,datum_corrected_rms_m,published_hausdorff_m,recomputed_zero_shift_hausdorff_m,datum_corrected_hausdorff_m
03_seed1001,honest,03,1001,DEBY_LOD2_4907207,14,0.0,48.172186288,48.172186288215435,-45.7,2.869564727857291,53.389262276,53.38926227629838,7.6892622762983365
03_seed1001,honest,03,1001,DEBY_LOD2_4907165,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907177,2,0.0,49.80728659,49.807286590497014,-45.7,5.560095848170141,59.289647613,59.28964761314978,13.589647613149737
03_seed1001,honest,03,1001,DEBY_LOD2_4907179,6,0.0,46.727719245,46.72771924539939,-45.7,1.4034489534596288,49.739239911,49.73923991142499,4.039239911424943
03_seed1001,honest,03,1001,DEBY_LOD2_42364665,4,0.0,46.29651191,46.296511910453795,-45.7,1.9808237045744614,50.488507573,50.48850757345656,4.7885075734565135
03_seed1001,honest,03,1001,DEBY_LOD2_4906965,63,0.0,46.453891436,46.45389143563069,-45.7,2.0385665697109654,64.730144205,64.7301442050599,19.030144205059855
03_seed1001,honest,03,1001,DEBY_LOD2_42364667,1,0.0,46.02614147,46.0261414701398,-45.7,0.39260438492867195,46.490195481,46.4901954811927,0.7901954811926544
03_seed1001,honest,03,1001,DEBY_LOD2_4907176,0,0.0,,,-45.7,,,,
03_seed1001,honest,03,1001,DEBY_LOD2_4907180,7,0.0,50.084837504,50.084837503671615,-45.7,6.691775893703165,60.932660058,60.93266005849466,15.232660058494616
03_seed1001,honest,03,1001,DEBY_LOD2_4906967,43,0.0,46.352451566,46.352451566375606,-45.7,3.5046455905681757,71.009235164,71.00923516425439,25.309235164254346
03_seed1001,honest,03,1001,DEBY_LOD2_4908023,1,0.0,47.079,47.07899999999995,-45.7,1.3789999999999052,47.079,47.07899999999995,1.3789999999999054
03_seed1001,honest,03,1001,DEBY_LOD2_4908024,1,0.0,48.219,48.21899999999994,-45.7,2.518999999999892,48.219,48.21899999999994,2.5189999999998918
03_seed1002,honest,03,1002,DEBY_LOD2_4906966,17,0.0,46.100267425,46.10026742510307,-45.7,0.8812513178411062,50.851641343,50.851641343323195,5.151641343323149
03_seed1002,honest,03,1002,DEBY_LOD2_4907178,1,0.0,46.059595273,46.05959527321238,-45.7,0.46281504472415275,46.715802149,46.715802148947205,1.0158021489471594
03_seed1002,honest,03,1002,DEBY_LOD2_4907183,7,0.0,46.136428886,46.13642888619888,-45.7,0.5726873412905795,49.250892676,49.25089267588396,3.550892675883915
03_seed1002,honest,03,1002,DEBY_LOD2_4907184,10,0.0,46.068257563,46.06825756337518,-45.7,0.512941222365671,47.501886796,47.50188679642895,1.801886796428903
03_seed1002,honest,03,1002,DEBY_LOD2_4907185,1,0.0,47.836313477,47.83631347675634,-45.7,2.165793449653689,48.656001244,48.65600124367916,2.956001243679111
03_seed1002,honest,03,1002,DEBY_LOD2_4907186,0,0.0,,,-45.7,,,,
03_seed1002,honest,03,1002,DEBY_LOD2_4907188,0,0.0,,,-45.7,,,,
03_seed1002,honest,03,1002,DEBY_LOD2_4907195,1,0.0,52.488647076,52.48864707640158,-45.7,7.867161879405652,63.433808753,63.43380875310936,17.733808753109315
03_seed1002,honest,03,1002,DEBY_LOD2_4907196,6,0.0,46.144582387,46.144582387290214,-45.7,0.7536188796111579,47.628415719,47.62841571927754,1.9284157192774956
03_seed1002,honest,03,1002,DEBY_LOD2_4907198,0,0.0,,,-45.7,,,,
03_seed1002,honest,03,1002,DEBY_LOD2_4907201,6,0.0,45.815313267,45.815313267173224,-45.7,0.5761704421490345,47.277366522,47.277366522212105,2.314358653106069
03_seed1002,honest,03,1002,DEBY_LOD2_4907202,0,0.0,,,-45.7,,,,
03_seed1002,honest,03,1002,DEBY_LOD2_4907204,8,0.0,45.90670592,45.90670592023652,-45.7,0.7294674261958787,47.591055186,47.59105518592196,2.8614114897440004
03_seed1002,honest,03,1002,DEBY_LOD2_4907205,0,0.0,,,-45.7,,,,
03_seed1002,honest,03,1002,DEBY_LOD2_4907206,5,0.0,45.598594121,45.59859412071942,-45.7,0.4350292329126447,46.590327316,46.5903273159679,1.2984241898525397
03_seed1002,honest,03,1002,DEBY_LOD2_4908168,0,0.0,,,-45.7,,,,
03_seed1002,honest,03,1002,DEBY_LOD2_4908178,0,0.0,,,-45.7,,,,
