run,label,bid,status,is_B104,is_B6,is_roof_complex,is_terrain_sensitive,n_evidence_points,lmu5_proxy,lmu5_roof_p10,lmu5_terrain_p90,lmu5_margin,lmu5_violation_frac,lmu6_proxy,lmu6_roof_mismatch,lmu6_wall_mismatch,lmu6_terrain_mismatch,lmu6_gate_rate,lmu6_entropy_mean,lmu7_proxy,lmu7_roof_wall_edges,lmu7_missing_adjacency_frac,lmu7_normal_parallel_violation,lmu7_height_order_violation,lmu8_proxy,lmu8_wall_ground_edges,lmu8_missing_adjacency_frac,lmu8_wall_ground_gap,lmu8_topology_penalty,F,roof_cov,wall_cov,ground_cov,support_cov,roof_support_cov,wall_support_cov,ground_support_cov,h_err,vol_ratio,chamfer,open_edges,non_manifold_edges
A8_no_terrain_terms,A8 no-terrain revised Mutual,B2,OK,0,0,0,0,3849,0.0,13.956349182128907,0.36573325097560877,13.590615931153298,0.0,0.010438927155559564,9.664968823548492e-05,0.009153736058539063,0.0011885414087850165,0.9979215380618343,0.061106763396466694,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.929390657222272,0.5586666666666666,0.9663333333333334,1.0,0.4323333333333333,0.76,0.436,0.193,0.5866236444250852,2.035296963090719,0.24422709910805826,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B8,OK,0,0,0,0,4565,0.0,14.01675443649292,0.2942367553710938,13.722517681121827,0.0,0.012603554525325956,4.783512372575599e-05,0.011444872842060897,0.0011108465595393037,0.9907995618838993,0.06432703981679168,0.16249986738104857,8.0,0.0,0.32499973476209715,0.0,0.0,8.0,0.0,0.0,0.0,0.9904966066520837,0.972,0.9746666666666667,1.0,0.5326666666666667,1.0,0.476,0.122,0.13904478171803625,1.6049902710553627,0.20539342465533078,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B6,OK,0,1,0,1,3282,0.0,14.617385864257812,0.41894354224205016,14.198442322015762,0.0,0.029214299206504275,0.00015818720356533035,0.027783907467360733,0.0012722045355782067,0.9984765386959171,0.10454434887477336,0.12546886645506952,12.0,0.0,0.25093773291013904,0.0,0.0,12.0,0.0,0.0,0.0,0.9225605636347215,0.482,0.938,1.0,0.418,0.719,0.387,0.123,2.9283915134027474,0.6559081697724676,0.2679935216492936,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B3,OK,0,0,1,0,28218,0.0,3.31879665851593,1.3805913686752327,1.9382052898406974,0.0003176908414268857,0.01394821596028988,0.00011989805826919372,0.013062357195905077,0.0007659607061156097,0.9953221348075696,0.06429518931341659,0.21269638444303712,42.0,0.0,0.42539276888607425,0.0,0.0,42.0,0.0,0.0,0.0,0.4609974701843152,0.15633333333333332,0.6113333333333333,0.92,0.27299999999999996,0.316,0.45,0.088,3.5447672319911128,0.9411325780297428,1.0225035712171733,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B123,OK,0,0,1,0,27178,0.0,4.507500028610229,0.5130464792251587,3.9944535493850704,0.0,0.013959384967642692,5.3181418167355063e-05,0.013026453678595685,0.0008797498708796504,0.9965413201854441,0.0617239594813787,0.04925668838236705,28.0,0.0,0.0985133767647341,0.0,0.0,28.0,0.0,0.0,0.0,0.5929870786516854,0.147,0.6553333333333333,0.9513333333333334,0.38066666666666665,0.304,0.699,0.172,0.6299571971661422,0.7191541446915409,0.8304252647366006,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B126,OK,0,0,1,0,17978,0.0,4.159080457687378,0.6106669306755067,3.5484135270118715,0.0,0.017468157283225122,7.79455094003295e-05,0.01644568534807606,0.0009445264257487349,0.9974413171654244,0.07926983072359556,0.12713062652832333,25.0,0.0,0.25426125305664665,0.0,0.0,25.0,0.0,0.0,0.0,0.5498362307886118,0.13233333333333333,0.6063333333333333,0.9816666666666667,0.25833333333333336,0.183,0.495,0.079,1.056427976713632,0.9100872377932501,1.0749352624353143,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B50,OK,0,0,0,1,4381,0.0,16.535851097106935,0.474372172355652,16.061478924751285,0.0,0.022709302692927338,0.00013543701897794083,0.02179617339430438,0.0007776922796450153,0.9986304496690254,0.08121569054054331,0.025640101423653992,10.0,0.0,0.051280202847307985,0.0,0.0,10.0,0.0,0.0,0.0,0.9298297185875606,0.5026666666666667,0.9456666666666667,1.0,0.4796666666666667,0.946,0.381,0.12,0.03321931137189438,1.0240678414198399,0.2497750801580465,0,0
A8_no_terrain_terms,A8 no-terrain revised Mutual,B104,OK,1,0,0,1,697,0.0,3.6414840698242186,0.46706002950668335,3.1744240403175352,0.0,0.02774360647556442,3.410773577437661e-05,0.025980512318137663,0.0017289864216523797,0.9885222381635581,0.1261488212873141,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7483333333333334,1.0,0.67,0.537,0.2357723600732995,1.027067737083591,0.08337058440393867,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B0,OK,0,0,0,0,4918,0.0,16.125878143310548,0.3339045584201815,15.791973584890366,0.0,0.016488644530344487,0.00020585246529891652,0.013344506873378495,0.0029382851916670747,0.9989833265555104,0.07725044756413789,0.11792081565914803,12.0,0.0,0.23584163131829605,0.0,0.0,12.0,0.0,0.0,0.0,0.9556364693231029,0.7476666666666667,0.965,1.0,0.5956666666666667,0.842,0.708,0.28,0.4376932253993999,1.1248601721188227,0.23365398307818858,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B1,OK,0,0,0,0,5001,0.0,16.968994140625,0.4689991950988772,16.499994945526122,0.0,0.014970071035948537,0.00013496855924645867,0.013576030164825753,0.0012590723118763233,0.999000199960008,0.06869787619821373,0.10822901183814455,6.0,0.0,0.2164580236762891,0.0,0.0,6.0,0.0,0.0,0.0,0.9456346786511575,0.6676666666666666,0.941,1.0,0.49933333333333335,0.908,0.501,0.089,0.31093167895229,0.7727469714509656,0.2500603218464693,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B2,OK,0,0,0,0,3825,0.0,13.952934265136719,0.349912041425705,13.603022223711013,0.0,0.009868241624543559,6.097985029099614e-05,0.008770870640422708,0.001036391133829855,0.9984313725490196,0.056330548475490384,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.983886846785805,1.0,0.9876666666666667,1.0,0.5243333333333333,1.0,0.433,0.193,0.5350516737668389,2.0716626938943654,0.20296023715982012,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B8,OK,0,0,0,0,4543,0.0,14.004186344146728,0.33016346096992505,13.674022883176804,0.0,0.013227643073855124,5.3939084495970076e-05,0.012132209763930937,0.001041494225428216,0.9903147699757869,0.06355420168649734,0.1624987118211666,8.0,0.0,0.3249974236423332,0.0,0.0,8.0,0.0,0.0,0.0,0.8995547323578441,1.0,0.9786666666666667,0.0,0.5569999999999999,1.0,0.469,0.186,0.7623087035639493,1.5933502761866942,0.21651002836102398,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B6,OK,0,1,0,1,3284,0.0,14.356138706207275,0.39223661422729483,13.96390209197998,0.0,0.030143689852511635,0.00018883728748465755,0.028697110760588455,0.0012577418044385227,0.9993909866017052,0.11070441038889586,0.11892723495587777,12.0,0.0,0.23785446991175554,0.0,0.0,12.0,0.0,0.0,0.0,0.9282614901256733,0.5286666666666666,0.938,1.0,0.41033333333333327,0.731,0.389,0.124,2.876548825736549,0.6521333654352308,0.26780326375699115,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B3,OK,0,0,1,0,28254,0.0,3.318022918701172,1.3327870488166806,1.9852358698844914,0.00013599891200870393,0.013908380132124283,0.0001288830838892626,0.013033223825209017,0.0007462732230260029,0.9945848375451264,0.06550807068105548,0.2129728155042816,42.0,0.0,0.4259456310085632,0.0,0.0,42.0,0.0,0.0,0.0,0.4314302258251303,0.13366666666666666,0.6106666666666667,0.9166666666666666,0.2703333333333333,0.28,0.458,0.086,0.140435784850375,0.967792854823915,1.1019029824844675,0,0
B2_terrain_confidence_gated,B2 terrain confidence-gated,B123,OK,0,0,1,0,27222,0.0,4.504194450378418,0.47330005764961275,4.030894392728805,0.0,0.014217067427032255,8.680256671071026e-05,0.013207425798463766,0.000922839061857779,0.9959958856806994,0.0654585089853066,0.048866321998731574,28.0,0.0,0.09773264399746315,0.0,0.0,28.0,0.0,0.0,0.0,0.5919172297297297,0.212,0.648,0.937,0.40166666666666667,0.354,0.697,0.173,0.18456172044956176,0.9549768024818117,0.7916811340119616,0,0
