run_id,building_id,arm,replicate,perturbation_type,perturbation_value,stage,status,reason,updated_utc,checkpoint,prepared_root,job_dir,gpu_id
gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1,DEBY_LOD2_4907199,a1,r1,height,1.000000000,score,failed,exit_1,2026-07-15T18:45:57.078062+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p1_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,DEBY_LOD2_4907199,a1,r1,height,4.000000000,checkpoint_gate,complete,,2026-07-15T18:45:57.270770+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,DEBY_LOD2_4907199,a1,r1,height,2.000000000,extract,complete,,2026-07-15T18:46:03.264783+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,DEBY_LOD2_4907199,a1,r1,height,4.000000000,extract,complete,,2026-07-15T18:46:03.349873+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,DEBY_LOD2_4907199,a1,r1,height,2.000000000,prepare_roofer,prepared,,2026-07-15T18:46:04.350286+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,DEBY_LOD2_4907199,a1,r1,height,4.000000000,prepare_roofer,prepared,,2026-07-15T18:46:04.424643+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,DEBY_LOD2_4907199,a1,r1,height,2.000000000,roofer,complete,,2026-07-15T18:46:05.016582+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,DEBY_LOD2_4907199,a1,r1,height,4.000000000,roofer,complete,,2026-07-15T18:46:05.069858+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,0
gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,DEBY_LOD2_4907199,a1,r1,height,2.000000000,score,failed,exit_1,2026-07-15T18:46:05.761409+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p2_r1,1
gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,DEBY_LOD2_4907199,a1,r1,height,4.000000000,score,failed,exit_1,2026-07-15T18:46:05.825275+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_dz_p4_r1,0
gs_e5_C001_s3ap_b4907199_a1_r1,DEBY_LOD2_4907199,a1,r1,none,0.000000000,checkpoint_gate,complete,,2026-07-15T18:46:05.985057+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r1,1
gs_e5_C001_s3ap_b4907199_a1_r2,DEBY_LOD2_4907199,a1,r2,none,0.000000000,checkpoint_gate,complete,,2026-07-15T18:46:06.038583+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r2,0
gs_e5_C001_s3ap_b4907199_a1_r1,DEBY_LOD2_4907199,a1,r1,none,0.000000000,extract,complete,,2026-07-15T18:46:12.294057+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r1/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r1,1
gs_e5_C001_s3ap_b4907199_a1_r2,DEBY_LOD2_4907199,a1,r2,none,0.000000000,extract,complete,,2026-07-15T18:46:12.428856+00:00,results/tum_transfer/e5_s3ap_phase2/runs/gs_e5_C001_s3ap_b4907199_a1_r2/ckpt/final.pt,results/tum_transfer/e5_s3ap_phase2/prepared/DEBY_LOD2_4907199,results/tum_transfer/e5_s3ap_phase3/jobs/gs_e5_C001_s3ap_b4907199_a1_r2,0
