setting,run_name,arm,replicate,min_obs,voxel_m,sor,sor_std,stage,building_id,occupied_cells,grid_total_cells,coverage_frac
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,300,393,0.7633587786259542
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,582,641,0.9079563182527302
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,85,114,0.7456140350877193
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,328,454,0.7224669603524229
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,245,474,0.5168776371308017
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568391,196,221,0.8868778280542986
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_8568392,9,24,0.375
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247349,219,402,0.5447761194029851
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247350,35,48,0.7291666666666666
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_108247351,173,260,0.6653846153846154
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_60098,308,784,0.39285714285714285
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907184,1352,1352,1.0
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907185,541,644,0.8400621118012422
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907186,267,673,0.3967310549777117
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907188,200,664,0.30120481927710846
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907194,211,850,0.24823529411764705
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907195,392,710,0.5521126760563381
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907198,858,1438,0.5966620305980529
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907199,200,393,0.5089058524173028
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4907202,516,641,0.8049921996879875
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908168,76,114,0.6666666666666666
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908178,258,454,0.5682819383259912
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_4908179,96,474,0.20253164556962025
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568391,168,221,0.7601809954751131
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_8568392,3,24,0.125
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247349,47,402,0.11691542288557213
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247350,5,48,0.10416666666666667
minobs2,gs_e5_C001_sparse_r1,sparse,r1,2,0.05,on,2.0,sor_post_clean,DEBY_LOD2_108247351,35,260,0.1346153846153846
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_60098,782,784,0.9974489795918368
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907184,1352,1352,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907185,643,644,0.9984472049689441
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907186,668,673,0.9925705794947994
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907188,661,664,0.9954819277108434
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907194,848,850,0.9976470588235294
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907195,710,710,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907198,1437,1438,0.9993045897079277
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907199,393,393,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4907202,638,641,0.9953198127925117
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908168,114,114,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908178,450,454,0.9911894273127754
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_4908179,474,474,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568391,220,221,0.995475113122172
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_8568392,24,24,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247349,402,402,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247350,48,48,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,voxel_all_pre_minobs,DEBY_LOD2_108247351,260,260,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_60098,588,784,0.75
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907184,1352,1352,1.0
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907185,565,644,0.8773291925465838
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907186,375,673,0.5572065378900446
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907188,315,664,0.4743975903614458
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907194,362,850,0.4258823529411765
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907195,532,710,0.7492957746478873
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907198,972,1438,0.6759388038942976
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907199,132,393,0.33587786259541985
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4907202,456,641,0.7113884555382215
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908168,100,114,0.8771929824561403
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908178,289,454,0.6365638766519823
minobs2,gs_e5_C001_sparse_r2,sparse,r2,2,0.05,on,2.0,minobs_post_gate_pre_sor,DEBY_LOD2_4908179,112,474,0.23628691983122363
