arm,replicate,building_id,raw_source,gs_source,raw_density_pts_m2,gs_density_pts_m2,delta_density_gs_minus_raw,raw_coverage_frac,gs_coverage_frac,delta_coverage_gs_minus_raw,raw_ref_dist_rms_m,gs_ref_dist_rms_m,noise_gain_raw_minus_gs_m,raw_normal_structure,gs_normal_structure,delta_normal_modes_gs_minus_raw,raw_has_lod22,gs_has_lod22,raw_shell_bucket,gs_shell_bucket,gs_vs_raw_observation
acmp,r1,DEBY_LOD2_108247350,raw_acmp,gs_acmp_r1,9.3927,0.2472,-9.1455,0.7917,0.0417,-0.7500,18.5890,15.9018,2.6872,multi_slope,too_few_points,-4.0000,true,false,조립,미조립,worsened_more_axes
acmp,r1,DEBY_LOD2_108247351,raw_acmp,gs_acmp_r1,4.0748,0.1379,-3.9369,0.3308,0.0115,-0.3193,16.1999,23.3731,-7.1732,multi_slope,too_few_points,-6.0000,true,false,조립,미조립,worsened_more_axes
acmp,r1,DEBY_LOD2_4907184,raw_acmp,gs_acmp_r1,309.2817,1228.2502,918.9685,0.9993,0.9985,-0.0008,5.4703,3.0390,2.4313,multi_slope,multi_slope,1.0000,true,true,조립,무효·붕괴,improved_more_axes
acmp,r1,DEBY_LOD2_4907185,raw_acmp,gs_acmp_r1,38.3522,28.2020,-10.1502,0.7065,0.3121,-0.3944,5.6663,4.7425,0.9238,multi_slope,multi_slope,4.0000,true,true,조립,조립,worsened_more_axes
acmp,r1,DEBY_LOD2_4907186,raw_acmp,gs_acmp_r1,34.9515,4.0219,-30.9296,0.8232,0.0550,-0.7682,2.2895,2.9446,-0.6551,multi_slope,multi_slope,0.0000,true,true,조립,조립,worsened_more_axes
acmp,r1,DEBY_LOD2_4907188,raw_acmp,gs_acmp_r1,24.4811,1.6277,-22.8534,0.8524,0.0271,-0.8253,2.3114,2.2029,0.1085,multi_slope,single_slope,-2.0000,true,true,조립,무효·붕괴,worsened_more_axes
acmp,r1,DEBY_LOD2_4907194,raw_acmp,gs_acmp_r1,27.8664,0.1363,-27.7301,0.9906,0.0071,-0.9835,3.3867,0.8573,2.5294,multi_slope,multi_slope,0.0000,true,false,조립,미조립,worsened_more_axes
acmp,r1,DEBY_LOD2_4907195,raw_acmp,gs_acmp_r1,57.5297,9.1600,-48.3697,0.9803,0.1085,-0.8718,2.8019,0.8992,1.9027,multi_slope,multi_slope,0.0000,true,true,조립,조립,worsened_more_axes
acmp,r1,DEBY_LOD2_4907198,raw_acmp,gs_acmp_r1,57.7961,8.5298,-49.2663,0.8936,0.1307,-0.7629,4.6057,2.3962,2.2095,multi_slope,multi_slope,-2.0000,true,true,조립,조립,worsened_more_axes
acmp,r1,DEBY_LOD2_4907199,raw_acmp,gs_acmp_r1,6.6093,8.3785,1.7692,0.1552,0.1628,0.0076,8.4692,18.1374,-9.6682,multi_slope,single_slope,-1.0000,false,false,미조립,미조립,improved_more_axes
