building_id,source_run,source_group,roof_planes,ref_roof_planes,model_normal_mode_count,ref_normal_mode_count,model_tilt_p50_deg,model_tilt_p90_deg,model_z_p10_p90_span_m,shape_class,has_lod22,shell_bucket,completeness,correctness,ref_rms_m,shape_note
DEBY_LOD2_4908178,gs_dense_r1,gs_dense,1,2,0,2,1.4990,1.4990,0.1959,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,12.1585,invalid_or_collapse
DEBY_LOD2_4908179,gs_dense_r1,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_60098,gs_dense_r1,gs_dense,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_8568391,gs_dense_r1,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_8568392,gs_dense_r1,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247349,gs_dense_r2,gs_dense,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247350,gs_dense_r2,gs_dense,1,1,1,0,57.2064,57.2064,4.7775,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,18.7447,invalid_or_collapse
DEBY_LOD2_108247351,gs_dense_r2,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907184,gs_dense_r2,gs_dense,7,4,4,4,16.3803,39.1094,3.8309,multi_plane,true,조립,1.0000,0.5714,1.0658,observed
DEBY_LOD2_4907185,gs_dense_r2,gs_dense,1,2,0,2,0.9225,0.9225,0.1692,flat_or_single_plane,true,조립,0.5000,1.0000,3.9967,flat_relative_to_reference
DEBY_LOD2_4907186,gs_dense_r2,gs_dense,1,2,1,2,56.2143,56.2143,15.7116,flat_or_single_plane,true,조립,0.0000,0.0000,9.2420,flat_relative_to_reference
DEBY_LOD2_4907188,gs_dense_r2,gs_dense,1,2,1,2,65.8418,65.8418,22.8970,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,11.0503,invalid_or_collapse
DEBY_LOD2_4907194,gs_dense_r2,gs_dense,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907195,gs_dense_r2,gs_dense,1,2,1,2,56.7985,56.7985,15.6733,flat_or_single_plane,true,조립,0.0000,0.0000,10.6694,flat_relative_to_reference
DEBY_LOD2_4907198,gs_dense_r2,gs_dense,1,4,1,3,33.0681,33.0681,9.7681,flat_or_single_plane,true,조립,0.2500,1.0000,4.4363,flat_relative_to_reference
DEBY_LOD2_4907199,gs_dense_r2,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907202,gs_dense_r2,gs_dense,2,2,0,1,0.2815,0.5068,0.0692,multi_plane,true,조립,0.5000,0.5000,2.1741,observed
DEBY_LOD2_4908168,gs_dense_r2,gs_dense,1,1,0,1,1.1065,1.1065,0.0734,flat_or_single_plane,true,조립,1.0000,1.0000,0.9377,observed
DEBY_LOD2_4908178,gs_dense_r2,gs_dense,1,2,0,2,1.0984,1.0984,0.1655,flat_or_single_plane,true,무효·붕괴,0.5000,1.0000,0.3627,invalid_or_collapse
DEBY_LOD2_4908179,gs_dense_r2,gs_dense,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_60098,gs_dense_r2,gs_dense,1,2,1,2,45.2321,45.2321,10.3677,flat_or_single_plane,true,조립,0.5000,1.0000,6.7123,flat_relative_to_reference
DEBY_LOD2_8568391,gs_dense_r2,gs_dense,1,1,0,0,2.9555,2.9555,0.4074,flat_or_single_plane,true,조립,1.0000,1.0000,1.3660,observed
DEBY_LOD2_8568392,gs_dense_r2,gs_dense,1,1,0,0,0.0000,0.0000,0.0000,flat_or_single_plane,true,조립,1.0000,1.0000,1.3020,observed
DEBY_LOD2_108247349,gs_acmp_r1,gs_acmp,0,1,0,1,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247350,gs_acmp_r1,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_108247351,gs_acmp_r1,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_points
DEBY_LOD2_4907184,gs_acmp_r1,gs_acmp,14,4,7,4,20.6514,41.2646,4.0124,multi_plane,true,무효·붕괴,1.0000,0.2857,1.4341,invalid_or_collapse
DEBY_LOD2_4907185,gs_acmp_r1,gs_acmp,3,2,3,2,7.4631,17.2140,3.0900,multi_plane,true,조립,1.0000,0.6667,3.5828,observed
DEBY_LOD2_4907186,gs_acmp_r1,gs_acmp,2,2,2,2,66.7894,67.1962,23.8337,multi_plane,true,조립,0.0000,0.0000,11.7862,observed
DEBY_LOD2_4907188,gs_acmp_r1,gs_acmp,1,2,1,2,60.0779,60.0779,17.8266,flat_or_single_plane,true,무효·붕괴,0.5000,1.0000,8.0421,invalid_or_collapse
DEBY_LOD2_4907194,gs_acmp_r1,gs_acmp,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907195,gs_acmp_r1,gs_acmp,1,2,1,2,27.4836,27.4836,5.5203,flat_or_single_plane,true,조립,0.5000,1.0000,4.6174,flat_relative_to_reference
DEBY_LOD2_4907198,gs_acmp_r1,gs_acmp,1,4,1,3,20.3163,20.3163,6.9592,flat_or_single_plane,true,조립,0.2500,1.0000,3.6438,flat_relative_to_reference
DEBY_LOD2_4907199,gs_acmp_r1,gs_acmp,0,1,0,0,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
DEBY_LOD2_4907202,gs_acmp_r1,gs_acmp,1,2,1,1,62.4410,62.4410,32.5797,flat_or_single_plane,true,무효·붕괴,0.0000,0.0000,15.4863,invalid_or_collapse
DEBY_LOD2_4908168,gs_acmp_r1,gs_acmp,1,1,1,1,18.5759,18.5759,1.1828,flat_or_single_plane,true,조립,1.0000,1.0000,1.8959,observed
DEBY_LOD2_4908178,gs_acmp_r1,gs_acmp,0,2,0,2,,,,no_model,false,미조립,0.0000,,,pointcloud_unusable_no_planes
