building_id,source_run,source_group,display_label,pair_raw,seed,replicate,footprint_area_m2,roof_point_count,density_pts_m2,coverage_frac,grid_occupied_cells,grid_total_cells,ref_lookup_miss_frac,ref_abs_dist_p50_m,ref_abs_dist_p90_m,ref_dist_rms_m,z_p10_p90_span_m,z_shift_to_reference_m,crs,normal_count,tilt_p50_deg,tilt_p90_deg,normal_mode_count,normal_structure
DEBY_LOD2_4907184,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,337.8636,382573,1132.3299,1.0000,1352,1352,0.0000,0.5114,1.5710,2.4139,4.1500,-45.7000,EPSG:25832,700,40.425,88.004,3,multi_slope
DEBY_LOD2_4907185,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,160.9815,3920,24.3506,0.2919,188,644,0.0000,3.9038,6.3283,5.1974,2.6500,-45.7000,EPSG:25832,700,18.047,68.616,5,multi_slope
DEBY_LOD2_4907186,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,167.8323,517,3.0805,0.0446,30,673,0.0000,3.1271,4.8828,3.2579,1.7500,-45.7000,EPSG:25832,517,76.673,89.049,1,single_slope
DEBY_LOD2_4907188,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,165.8832,374,2.2546,0.0331,22,664,0.0000,2.1887,3.1089,4.8590,2.6000,-45.7000,EPSG:25832,374,82.923,89.348,1,single_slope
DEBY_LOD2_4907194,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,212.7291,16,0.0752,0.0047,4,850,0.0000,3.4943,3.5786,7.0579,2.2000,-45.7000,EPSG:25832,16,22.503,86.270,0,single_slope
DEBY_LOD2_4907195,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,177.8385,1091,6.1348,0.0817,58,710,0.0000,0.4104,1.0136,0.7456,3.1000,-45.7000,EPSG:25832,700,73.716,88.406,3,multi_slope
DEBY_LOD2_4907198,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,359.7993,3299,9.1690,0.1252,180,1438,0.0000,1.4243,3.0804,2.6754,3.3000,-45.7000,EPSG:25832,700,64.001,80.005,2,multi_slope
DEBY_LOD2_4907199,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,98.3464,1033,10.5037,0.1552,61,393,0.0000,4.7080,7.2580,5.4346,4.3500,-45.7000,EPSG:25832,700,76.193,77.056,1,single_slope
DEBY_LOD2_4907202,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,160.4587,1607,10.0150,0.1622,104,641,0.0000,14.1851,14.6511,18.1962,0.4000,-45.7000,EPSG:25832,700,17.440,22.267,1,weak_structure
DEBY_LOD2_4908168,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,28.8314,0,0.0000,0.0000,0,114,1.0000,,,,,-45.7000,EPSG:25832,0,,,0,too_few_points
DEBY_LOD2_4908178,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,113.4123,191,1.6841,0.0507,23,454,0.0000,45.3433,46.1942,34.3275,57.6000,-45.7000,EPSG:25832,191,75.998,78.021,1,single_slope
DEBY_LOD2_4908179,gs_sparse_r1,gs_sparse,GS sparse r1,raw_sparse,sparse,r1,118.2496,64,0.5412,0.0084,4,474,0.0000,40.5060,40.8160,40.4455,0.9050,-45.7000,EPSG:25832,64,81.901,86.587,2,multi_slope
