image_idx,image_name,backend,align_a,align_b,mvs_valid_pixels,residual_abs_median_m,residual_abs_p90_m,warp_amp_plane_m,warp_amp_quadratic_m,metric_depth,mono_normal_world
56,DJI_20241217084849_0188_D.JPG,Depth Anything V2 Small vits,-8.55839157,78.51908322,1215558,3.0802,7.8499,2.6607,4.2357,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084849_0188_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084849_0188_D.npy
57,DJI_20241217084851_0189_D.JPG,Depth Anything V2 Small vits,-7.57574393,77.38127585,1221097,4.0208,6.8267,6.8782,7.6199,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084851_0189_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084851_0189_D.npy
58,DJI_20241217084853_0190_D.JPG,Depth Anything V2 Small vits,-8.75461596,78.43595681,1306465,3.2311,6.2992,4.3450,5.7216,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084853_0190_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084853_0190_D.npy
59,DJI_20241217084855_0191_D.JPG,Depth Anything V2 Small vits,-8.72463505,78.50269417,1327158,4.6701,8.4191,5.3810,8.5116,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084855_0191_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084855_0191_D.npy
60,DJI_20241217084857_0192_D.JPG,Depth Anything V2 Small vits,-9.20687770,78.95072202,1329945,4.8767,8.2759,1.6369,7.1627,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084857_0192_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084857_0192_D.npy
61,DJI_20241217084859_0193_D.JPG,Depth Anything V2 Small vits,-9.82724997,80.59663302,1348372,4.8004,8.9603,1.7543,6.9062,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084859_0193_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084859_0193_D.npy
62,DJI_20241217084901_0194_D.JPG,Depth Anything V2 Small vits,-9.84325460,81.60477629,1364779,5.3001,7.9053,6.9130,9.8099,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084901_0194_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084901_0194_D.npy
63,DJI_20241217084903_0195_D.JPG,Depth Anything V2 Small vits,-10.62528853,80.86403982,1371545,4.3294,7.2111,2.2114,7.9229,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084903_0195_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084903_0195_D.npy
64,DJI_20241217084905_0196_D.JPG,Depth Anything V2 Small vits,-10.98234842,81.83513030,1380309,4.4069,6.8014,4.0412,7.1148,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084905_0196_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084905_0196_D.npy
65,DJI_20241217084907_0197_D.JPG,Depth Anything V2 Small vits,-10.08146456,81.06577076,1382882,4.1912,7.2318,2.0024,7.3957,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084907_0197_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084907_0197_D.npy
66,DJI_20241217084909_0198_D.JPG,Depth Anything V2 Small vits,-9.40011393,80.99307528,1007984,3.5675,8.3824,0.8833,7.4695,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084909_0198_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084909_0198_D.npy
67,DJI_20241217084911_0199_D.JPG,Depth Anything V2 Small vits,-10.53705427,81.53130318,777832,3.3347,9.6705,5.2014,9.8598,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084911_0199_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084911_0199_D.npy
68,DJI_20241217084913_0200_D.JPG,Depth Anything V2 Small vits,-8.76329040,80.97496023,603577,4.1035,10.0603,13.8733,15.5708,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084913_0200_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084913_0200_D.npy
69,DJI_20241217084915_0201_D.JPG,Depth Anything V2 Small vits,-8.07779999,79.02940160,335281,3.2933,9.4966,7.7321,9.9643,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084915_0201_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084915_0201_D.npy
70,DJI_20241217084917_0202_D.JPG,Depth Anything V2 Small vits,-7.52354954,77.55391182,315690,3.8525,10.1179,7.0472,9.4231,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/depth_metric_npy/DJI_20241217084917_0202_D.npy,results/tum_transfer/e5_s2_direction_position/C001/mono_priors/normal_omnidata_world_npy/DJI_20241217084917_0202_D.npy
