building_id,source_group,source_run,display_label,source_role,seed,replicate,pair_raw,source_badge,readout,z_shift_to_reference_m,complexity_lens,size_lens,texture_lens,observation_lens,label_lens,has_lod22,val3dity_valid,status,status_reason,rf_success,rf_pointcloud_unusable,roof_planes,status_rf_roof_planes,ref_roof_planes,match_count,completeness,correctness,mean_match_iou,ref_rms_m,ref_hausdorff_m,ref_distance_samples,rf_rmse_lod22,shell_bucket,ref_rms_tail,ref_rms_tail_fence_m
DEBY_LOD2_4907202,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,3,8,2,2,1.0000,0.6667,0.4554,2.1561,5.3834,298,5.401311,조립,false,18.3340
DEBY_LOD2_4908168,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,not_reviewed,high,none,true,true,success,success,True,False,1,2,1,1,1.0000,1.0000,0.9996,2.0838,2.3728,114,0.736838,조립,false,18.3340
DEBY_LOD2_4908178,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,not_reviewed,low,none,false,true,failure,missing_lod22_geometry,True,False,0,2,2,0,0.0000,,,,,0,0.000000,미조립,false,18.3340
DEBY_LOD2_4908179,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_60098,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,mid,not_reviewed,mid,none,true,false,failure,val3dity_invalid,True,False,4,9,2,2,1.0000,0.5000,0.8137,1.9607,3.0746,785,2.254704,무효·붕괴,false,18.3340
DEBY_LOD2_8568391,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,무텍스처,mid,무텍스처,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_8568392,raw_acmp,raw_acmp,raw acmp,baseline,,,,,,-45.7000,low,low,lowtex_high,mid,복합(소형+재질),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247349,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,not_reviewed,mid,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247350,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,lowtex_mid,mid,복합(소형+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_108247351,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,low,복합(저조도+가림),mid,복합(저조도+가림),false,true,failure,pointcloud_unusable_no_points,True,True,0,0,1,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907184,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,high,high,not_reviewed,high,none,true,false,failure,val3dity_invalid,True,False,14,67,4,4,1.0000,0.2857,0.5622,1.5591,21.4126,1352,0.951331,무효·붕괴,false,18.3340
DEBY_LOD2_4907185,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,high,none,true,true,success,success,True,False,2,15,2,2,1.0000,1.0000,0.3022,3.4967,7.1053,646,5.832468,조립,false,18.3340
DEBY_LOD2_4907186,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,mid,none,true,true,success,success,True,False,1,1,2,0,0.0000,0.0000,,6.8284,14.9342,674,0.541341,조립,false,18.3340
DEBY_LOD2_4907188,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_planes,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
DEBY_LOD2_4907194,gs_sparse,gs_sparse_r1,GS sparse r1,gs,sparse,r1,raw_sparse,,"readout(gssem; semantic-TSDF[minobs3, voxel0.05]; Roofer eps0.3/minpts15/complexity0.888)",-45.7000,low,mid,not_reviewed,low,none,false,true,failure,pointcloud_unusable_no_points,True,True,0,0,2,0,0.0000,,,,,0,,미조립,false,18.3340
