family,arm,band,z_min,z_max,n_gaussians,x_min,x_max,y_min,y_max,z_p50,opacity_p50,opacity_p95,ckpt
corrected_original,sparse,z_hist_2m,592.0,594.0,36064,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,594.0,596.0,21052,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,596.0,598.0,14914,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,598.0,600.0,12828,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,600.0,602.0,11826,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,602.0,604.0,9965,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,604.0,606.0,7678,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,606.0,608.0,5172,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,608.0,610.0,3513,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,610.0,612.0,3362,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,612.0,614.0,3270,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,614.0,616.0,3094,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,616.0,618.0,2208,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,618.0,620.0,1302,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,620.0,622.0,1461,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,622.0,624.0,1106,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,624.0,626.0,773,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,626.0,628.0,622,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,628.0,630.0,371,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,630.0,632.0,382,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,632.0,634.0,182,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,634.0,636.0,103,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,636.0,638.0,61,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_original,sparse,z_hist_2m,638.0,640.0,101,,,,,,,,results/tum_transfer/e5_corrected_s1/C001/runs/gs_e5_C001_corrected_s1_sparse_r1/ckpt/final.pt
corrected_recheck,dense,roof_band_560_590,560.0,590.0,357853,690682.9234,691048.9347,5335902.0742,5336222.7915,580.8605,0.9068,0.9994,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,sheet_band_595_615,595.0,615.0,82674,690683.1853,691046.9740,5335908.5266,5336218.8646,599.3617,0.9055,0.9991,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,520.0,522.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,522.0,524.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,524.0,526.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,526.0,528.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,528.0,530.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,530.0,532.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,532.0,534.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,534.0,536.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,536.0,538.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,538.0,540.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,540.0,542.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,542.0,544.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,544.0,546.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,546.0,548.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,548.0,550.0,2,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,550.0,552.0,0,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,552.0,554.0,212,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
corrected_recheck,dense,z_hist_2m,554.0,556.0,388,,,,,,,,results/tum_transfer/e5_corrected_s1_recheck/C001/runs/gs_e5_C001_corrected_s1_preprune_dense_r1/ckpt/final.pt
