arm,base_coef,ci_high,ci_low,coef,coef_delta_from_base,fit_type,n,note,ordinary_coef,outcome,outcome_kind,predictor,robust_coef,se,sign_flip_vs_base,sign_mismatch,spec,status,variant
raw_lidar,none,0.259807,0.058339,0.159073,none,huber_rlm,178,none,none,rf_roof_planes,continuous,median_pair_angle_deg,none,0.051395,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.221468,-0.023793,0.098837,none,huber_rlm,178,none,none,rf_roof_planes,continuous,n_views_nadir,none,0.062567,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,-0.100283,-0.369064,-0.234674,none,huber_rlm,178,none,none,rf_roof_planes,continuous,recon_score_median,none,0.068567,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_lidar,none,0.220540,0.049377,0.134958,none,huber_rlm,178,none,none,rf_roof_planes,continuous,fallback_clip_source,none,0.043664,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,5.470452,-4.572884,0.448784,none,logistic,26,none,none,assembled,binary,pt_density_m2_reg,none,2.562075,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,1.633959,-2.872940,-0.619490,none,logistic,26,none,none,assembled,binary,coverage_frac_reg,none,1.149719,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,4.009575,-0.772288,1.618644,none,logistic,26,none,none,assembled,binary,local_plane_rms_m,none,1.219863,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,16.052832,-9.550318,3.251257,none,logistic,26,none,none,assembled,binary,floater_frac,none,6.531416,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,1.466235,-1.147945,0.159145,none,logistic,26,none,none,assembled,binary,label_proxy_frac_all,none,0.666883,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,4.457944,-1.292645,1.582649,none,logistic,26,none,none,assembled,binary,median_incidence_deg,none,1.466987,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,7.073803,-2.359075,2.357364,none,logistic,26,none,none,assembled,binary,median_pair_angle_deg,none,2.406347,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,4.212323,-2.953217,0.629553,none,logistic,26,none,none,assembled,binary,n_views_nadir,none,1.827944,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,4.512420,-8.577571,-2.032576,none,logistic,26,none,none,assembled,binary,recon_score_median,none,3.339283,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,2.674417,-20.516449,-8.921016,none,logistic,26,none,none,val3dity_valid,binary,pt_density_m2_reg,none,5.916037,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,14.344360,-1.685448,6.329456,none,logistic,26,none,none,val3dity_valid,binary,coverage_frac_reg,none,4.089237,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,5.970614,-1.801463,2.084575,none,logistic,26,none,none,val3dity_valid,binary,local_plane_rms_m,none,1.982673,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,13.997718,-5.486748,4.255485,none,logistic,26,none,none,val3dity_valid,binary,floater_frac,none,4.970527,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.737717,-13.853783,-6.558033,none,logistic,26,none,none,val3dity_valid,binary,label_proxy_frac_all,none,3.722321,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,6.843670,-3.309735,1.766967,none,logistic,26,none,none,val3dity_valid,binary,median_incidence_deg,none,2.590154,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,23.761647,-1.952023,10.904812,none,logistic,26,none,none,val3dity_valid,binary,median_pair_angle_deg,none,6.559610,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,31.665110,-2.100035,14.782537,none,logistic,26,none,none,val3dity_valid,binary,n_views_nadir,none,8.613557,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,3.228625,-30.940504,-13.855940,none,logistic,26,none,none,val3dity_valid,binary,recon_score_median,none,8.716615,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.965470,0.248952,0.607211,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,pt_density_m2_reg,none,0.182785,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
raw_acmp,none,0.006015,-0.425305,-0.209645,none,huber_rlm,23,none,none,rf_rmse_lod22,continuous,coverage_frac_reg,none,0.110031,none,none,attributes_plus_observation_fallback,ok,fallback_dummy_sensitivity
