building_id,footprint_area_m2,small_lt50_candidate,texture_low_gradient_fraction,texture_threshold,texture_sufficient,mast3r_correspondence_count,correspondence_threshold,correspondence_at_or_above_threshold,outline_inframe_frac_max,outline_valid_pixel_count_max,outline_inframe_threshold,outline_pixel_threshold,outline_observable,formula_assignment,map_assignment,assignment_record_status,calibration_seed,calibration_or_validation,dense_assembled,projection_reference_height_used,crs,learning_runs_started
DEBY_LOD2_4907035,325.258000,false,0.517000,0.721000,true,12,6.000000,true,1.000000,158,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907036,187.848000,false,0.549000,0.721000,true,0,6.000000,false,1.000000,111,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907156,295.441000,false,0.534000,0.721000,true,20,6.000000,true,1.000000,150,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907164,322.770000,false,0.364000,0.721000,true,0,6.000000,false,1.000000,155,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907165,262.125000,false,0.523000,0.721000,true,10,6.000000,true,1.000000,143,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907166,160.195000,false,0.448000,0.721000,true,0,6.000000,false,1.000000,102,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907167,203.195000,false,0.648000,0.721000,true,0,6.000000,false,1.000000,117,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907168,207.379000,false,0.574000,0.721000,true,0,6.000000,false,1.000000,118,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907169,317.445000,false,0.647000,0.721000,true,0,6.000000,false,1.000000,162,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907170,239.910000,false,0.593000,0.721000,true,0,6.000000,false,1.000000,126,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907171,189.008000,false,0.583000,0.721000,true,0,6.000000,false,1.000000,111,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907172,165.273000,false,0.564000,0.721000,true,0,6.000000,false,1.000000,103,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907173,377.953000,false,0.553000,0.721000,true,0,6.000000,false,1.000000,172,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907174,260.426000,false,0.533000,0.721000,true,0,6.000000,false,1.000000,164,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907175,413.891000,false,0.444000,0.721000,true,0,6.000000,false,1.000000,194,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907176,515.387000,false,0.498000,0.721000,true,0,6.000000,false,1.000000,183,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907177,95.570000,false,0.610000,0.721000,true,0,6.000000,false,1.000000,90,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907178,192.957000,false,0.503000,0.721000,true,0,6.000000,false,1.000000,114,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907179,160.359000,false,0.476000,0.721000,true,0,6.000000,false,1.000000,110,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907180,386.109000,false,0.561000,0.721000,true,0,6.000000,false,1.000000,173,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907181,190.789000,false,0.514000,0.721000,true,0,6.000000,false,1.000000,116,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907182,95.004000,false,0.738000,0.721000,false,0,6.000000,false,1.000000,87,0.999999,21.000000,true,2층-경계,2층-경계,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907183,361.680000,false,0.507000,0.721000,true,0,6.000000,false,1.000000,162,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907184,337.875000,false,0.198000,0.721000,true,0,6.000000,false,1.000000,167,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907185,160.980000,false,0.338000,0.721000,true,0,6.000000,false,1.000000,102,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907186,167.836000,false,0.610000,0.721000,true,0,6.000000,false,1.000000,104,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907187,119.906000,false,0.541000,0.721000,true,0,6.000000,false,1.000000,102,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4907188,165.881000,false,0.598000,0.721000,true,0,6.000000,false,1.000000,104,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907194,212.727000,false,0.708000,0.721000,true,0,6.000000,false,1.000000,119,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907195,177.840000,false,0.732000,0.721000,false,103,6.000000,true,1.000000,120,0.999999,21.000000,true,2층,2층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907196,427.391000,false,0.407000,0.721000,true,11,6.000000,true,1.000000,201,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907198,359.797000,false,0.641000,0.721000,true,0,6.000000,false,1.000000,201,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907199,98.346000,false,0.656000,0.721000,true,0,6.000000,false,1.000000,83,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4907201,190.867000,false,0.324000,0.721000,true,0,6.000000,false,1.000000,119,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907202,160.461000,false,0.562000,0.721000,true,0,6.000000,false,1.000000,117,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907204,224.359000,false,0.355000,0.721000,true,0,6.000000,false,1.000000,132,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907205,105.059000,false,0.749000,0.721000,false,0,6.000000,false,1.000000,90,0.999999,21.000000,true,2층-경계,2층-경계,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907206,201.945000,false,0.441000,0.721000,true,0,6.000000,false,1.000000,116,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907207,324.508000,false,0.531000,0.721000,true,174,6.000000,true,1.000000,184,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907208,284.496000,false,0.597000,0.721000,true,0,6.000000,false,1.000000,136,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907505,217.312000,false,0.620000,0.721000,true,0,6.000000,false,1.000000,119,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907506,283.363000,false,0.553000,0.721000,true,0,6.000000,false,1.000000,140,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907507,283.699000,false,0.531000,0.721000,true,1553,6.000000,true,1.000000,141,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907508,131.098000,false,0.506000,0.721000,true,0,6.000000,false,1.000000,123,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907509,322.402000,false,0.428000,0.721000,true,0,6.000000,false,1.000000,174,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907510,119.363000,false,0.554000,0.721000,true,16,6.000000,true,1.000000,99,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4907514,300.688000,false,0.514000,0.721000,true,0,6.000000,false,1.000000,169,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907515,306.219000,false,0.619000,0.721000,true,951,6.000000,true,1.000000,163,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907516,178.775000,false,0.625000,0.721000,true,1096,6.000000,true,1.000000,108,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907517,196.965000,false,0.651000,0.721000,true,1033,6.000000,true,1.000000,118,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907518,251.199000,false,0.578000,0.721000,true,1662,6.000000,true,1.000000,131,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907519,3981.406000,false,0.449000,0.721000,true,19,6.000000,true,1.000000,559,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907520,248.691000,false,0.104000,0.721000,true,1794,6.000000,true,1.000000,127,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4907521,302.898000,false,0.695000,0.721000,true,108,6.000000,true,1.000000,140,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4908044,46.303000,true,0.312000,0.721000,true,0,6.000000,false,1.000000,57,0.999999,21.000000,true,1층,판별불가,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4908045,55.840000,false,0.539000,0.721000,true,0,6.000000,false,1.000000,63,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4908046,139.031000,false,0.462000,0.721000,true,0,6.000000,false,1.000000,123,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4908048,68.219000,false,0.374000,0.721000,true,0,6.000000,false,1.000000,73,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4908049,49.086000,true,0.482000,0.721000,true,0,6.000000,false,1.000000,58,0.999999,21.000000,true,1층,판별불가,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4908050,131.674000,false,0.244000,0.721000,true,0,6.000000,false,1.000000,118,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4908051,141.529000,false,0.197000,0.721000,true,0,6.000000,false,1.000000,119,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908052,143.561000,false,0.327000,0.721000,true,0,6.000000,false,1.000000,127,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908053,36.309000,true,0.344000,0.721000,true,0,6.000000,false,1.000000,49,0.999999,21.000000,true,1층,판별불가,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908054,33.605000,true,0.653000,0.721000,true,0,6.000000,false,1.000000,47,0.999999,21.000000,true,1층,판별불가,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908059,87.068000,false,0.557000,0.721000,true,0,6.000000,false,1.000000,79,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,0,true,EPSG:25832,0
DEBY_LOD2_4908157,165.051000,false,0.517000,0.721000,true,0,6.000000,false,1.000000,119,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908158,182.586000,false,0.602000,0.721000,true,0,6.000000,false,1.000000,139,0.999999,21.000000,true,1층,1층,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908159,37.635000,true,0.650000,0.721000,true,0,6.000000,false,1.000000,50,0.999999,21.000000,true,1층,판별불가,complete,20260716,calibration,0,true,EPSG:25832,0
DEBY_LOD2_4908161,454.500000,false,0.391000,0.721000,true,0,6.000000,false,1.000000,347,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4908162,104.742000,false,0.533000,0.721000,true,0,6.000000,false,1.000000,95,0.999999,21.000000,true,1층,1층,complete,20260716,validation,0,true,EPSG:25832,0
DEBY_LOD2_4908163,56.262000,false,0.591000,0.721000,true,0,6.000000,false,1.000000,62,0.999999,21.000000,true,1층,1층,complete,20260716,not_manual,1,true,EPSG:25832,0
DEBY_LOD2_4908164,33.271000,true,0.734000,0.721000,false,0,6.000000,false,1.000000,49,0.999999,21.000000,true,2층-경계,판별불가,complete,20260716,calibration,0,true,EPSG:25832,0
