bid,bid_int,source,class_id,class_name,point_count,semantic_entropy_mean,semantic_confidence_mean,normal_consistency_mean,weight_mean,y_mean,y_median,y_p10,y_p90,z_mean,z_median,distance_to_gt_reference_ground_plane_mean,distance_to_predicted_GroundSurface_mean,distance_to_predicted_RoofSurface_mean,distance_to_predicted_same_surface_mean,semantic_confidence_vs_geometric_error_corr,normal_confidence_vs_geometric_error_corr,focus_case
B126,126,E2_Mutual_rendered,1,roof,12999,0.037980922673515695,0.9204026894086929,0.9005288847963223,0.9456401171329086,-14.128317348131153,-17.628870010375977,-18.75493049621582,-4.154720211029053,-86.05443996462017,-84.48302459716797,13.526317348131151,13.865884435157003,1.8355589666865888,1.8355589666865888,-0.2607721116296461,0.24782142199310062,True
B126,126,E2_Mutual_rendered,2,wall,3813,0.06306367274718294,0.9042894219534622,0.8178040124638627,0.9092264236887703,-11.034525476866996,-11.444221496582031,-18.060449600219727,-3.2235925674438466,-80.56465134319282,-78.80538177490234,10.432772307788731,10.779876386976316,4.229517071147007,1.2548317807069012,-0.1934999056112561,-0.3540763108836684,True
B126,126,E2_Mutual_rendered,3,ground,367,0.10258626552363376,0.5769016645260013,0.9703404896175046,0.5966338357743516,-0.3356011695170151,-0.12761558592319489,-0.4919441998004913,0.027973937988281256,-83.40218546604915,-78.97876739501953,0.5958760143005027,0.7883643484109628,10.539916504538992,0.7883643484109628,-0.11664097120986376,-0.04037262806657781,True
B50,50,E1_Baseline_rendered,1,roof,3257,0.04589788864556524,0.9765814556495741,0.8684965452031252,0.9960798581282639,-17.54371486443627,-17.625165939331055,-18.3658016204834,-16.55198631286621,33.32346544860147,33.27940368652344,17.001714864436266,17.110697995331186,0.642246347734323,0.642246347734323,0.049041024891681946,-0.07134193818077768,False
B50,50,E1_Baseline_rendered,2,wall,872,0.11165227689580706,0.8045871056223272,0.6383615611316705,0.8057191874404702,-12.832572921358665,-13.722590923309326,-17.90714454650879,-5.5914958953857425,34.30860152157075,34.53677177429199,12.290572921358665,12.403943984648187,4.175121808801847,0.7481102693259651,0.12030921323392678,-0.4229921611279929,False
B50,50,E1_Baseline_rendered,3,ground,96,0.2756699181627482,0.233583811748152,0.9848077858667678,0.233583811748152,-0.48228593457800645,-0.3445912003517151,-0.9661960899829865,-0.09898757934570312,35.962196389834084,35.95989799499512,0.347682189175859,0.6404647621552249,15.049386868203555,0.6404647621552249,0.016334192536793028,-0.12343698293465673,False
B50,50,E2_Mutual_rendered,1,roof,3275,0.03467090205704208,0.9814950497823817,0.8665547720815523,0.996812364927685,-17.546795013369493,-17.635305404663086,-18.371896743774414,-16.555327224731446,33.33622433611455,33.30142593383789,17.004795013369495,17.05580504681039,0.635527248266531,0.635527248266531,0.028210680645829878,-0.09635678077210717,False
B50,50,E2_Mutual_rendered,2,wall,850,0.08130788675976339,0.8258339039893712,0.6313818912458832,0.8292771194436971,-13.093603359530954,-13.82366418838501,-17.8927734375,-6.561730527877807,34.09655524758732,34.265438079833984,12.551603359530953,12.606510604064953,3.9184997859802344,0.7529939048334079,0.09609710877221005,-0.43054002504601635,False
B50,50,E2_Mutual_rendered,3,ground,21,0.14062958308273837,0.2605507487342471,0.9880437438556833,0.2605507487342471,-0.43403940381748335,-0.16500091552734375,-0.8145503401756287,-0.02768707275390625,33.695646558489116,33.692256927490234,0.5514614657064278,0.7747246352462847,14.636742658802255,0.7747246352462847,0.502979924301922,-0.6945737941449103,False
B104,104,E1_Baseline_rendered,1,roof,445,0.06741087233457711,0.9498636754041307,0.977220419610423,0.9521034821365656,-3.754807813515824,-3.7817490100860596,-4.003342628479004,-3.549882507324219,76.64337629682562,76.77928161621094,3.560807813515823,3.2378073591031016,0.3020909707380675,0.3020909707380675,-0.47219116408723955,-0.2832313680471334,True
B104,104,E1_Baseline_rendered,2,wall,83,0.2248955328446667,0.703209271272981,0.7643407703109989,0.703209271272981,-2.7175221572439354,-2.250654935836792,-3.326513671875,-1.481536865234375,77.05274678425617,77.36504364013672,2.523522157243936,2.2122494722521653,1.5401984246109033,0.5338846935686649,0.2708356365644204,-0.08636193605284509,True
B104,104,E1_Baseline_rendered,3,ground,160,0.23553807088173925,0.39237231146544216,0.975164481398315,0.39237231146544216,-0.4975447198143229,-0.3065163344144821,-1.1540160298347473,0.12018318623304365,77.88009648323059,78.28839874267578,0.4700500450948254,0.7042719745627699,3.1568543567322807,0.7042719745627699,0.1983042390335828,-0.04696542597364345,True
B104,104,E2_Mutual_rendered,1,roof,420,0.042259434895762144,0.9175759305556616,0.9557725903658617,0.9198786302691414,-3.7973982453346253,-3.767803192138672,-4.068483352661133,-3.5366585731506346,76.58444068545387,76.7603988647461,3.6033982453346245,2.8720434269625366,0.3502612631331243,0.3502612631331243,0.029080570933166995,-0.005002138625066395,True
B104,104,E2_Mutual_rendered,2,wall,83,0.3078492358831846,0.5163002677531128,0.683140917847956,0.5163002677531128,-3.328430787626519,-2.6133804321289062,-3.631884717941284,-1.7775461196899416,76.74186587046428,76.697509765625,3.1344307876265196,2.418078003864461,1.7323256403597054,0.9156967141874711,0.4702609736090343,0.07996865802063267,True
B104,104,E2_Mutual_rendered,3,ground,101,0.33492627363688876,0.23182963380719177,0.9730815553684089,0.23747291659364606,-0.8647480344787093,-0.6662593483924866,-1.8813729286193848,0.23840416967868805,78.50339870641727,78.98617553710938,0.9561251593187894,1.0175674604938245,2.8769957143937686,1.0175674604938245,0.533565879969189,0.04497952185346288,True
